har_id,chrom,start,end,length,translated_category,nearest_gene,gene_dist,source,gBGC_flag,is_testis_positive_control,is_mpra_testis_validated
ZOOHAR.21,chrX,138711283,138711346,63,positive,FGF13,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.22,chr16,73095603,73095697,94,positive,ZFHX3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.23,chr4,177351875,177352056,181,GBGC(hc),NEIL3,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.24,chr3,171102069,171102123,54,positive,MIR548I1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.25,chr9,122957885,122957947,62,,RABGAP1,0,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.26,chr16,78958236,78958557,321,positive,WWOX,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.27,chr14,31100104,31100271,167,positive,HECTD1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.28,chr8,60782028,60782167,139,positive,CHD7,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.29,chr7,134695357,134695510,153,positive,BPGM,15542,zooHAR_Keough2023,positive,False,False
ZOOHAR.30,chr6,2111374,2111601,227,GBGC,GMDS,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.31,chr3,81216880,81217184,304,positive,LINC02027,121233,zooHAR_Keough2023,positive,False,False
ZOOHAR.32,chr21,20993453,20993538,85,positive,CBS,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.33,chr2,143825545,143825633,88,,ARHGAP15,57193,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.34,chr10,78663908,78664007,99,positive,ZMIZ1-AS1,279318,zooHAR_Keough2023,positive,False,False
ZOOHAR.35,chr9,25934889,25935012,123,positive,LINC01241,121921,zooHAR_Keough2023,positive,False,False
ZOOHAR.36,chr3,182518771,182518827,56,positive,LINC01995,11647,zooHAR_Keough2023,positive,False,False
ZOOHAR.37,chr6,20034318,20034408,90,positive,MBOAT1,65277,zooHAR_Keough2023,positive,False,False
ZOOHAR.38,chr11,127143662,127143739,77,GBGC(hc),LOC101929473,42356,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.39,chr12,87219197,87219282,85,positive,LOC105369879,111456,zooHAR_Keough2023,positive,False,False
ZOOHAR.40,chr3,174911930,174912009,79,positive,MIR548I1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.41,chr14,68115776,68115892,116,positive,RAD51B,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.42,chr2,66686769,66687072,303,positive,LINC01798,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.43,chr2,119129788,119129938,150,positive,C1QL2,26304,zooHAR_Keough2023,positive,False,False
ZOOHAR.44,chr2,144477106,144477564,458,positive,ZEB2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.45,chr6,50234233,50234462,229,positive,DEFB112,184304,zooHAR_Keough2023,positive,False,False
ZOOHAR.46,chr10,59176560,59176622,62,positive,PHYHIPL,20,zooHAR_Keough2023,positive,False,False
ZOOHAR.47,chr21,16843407,16843500,93,positive,CBS,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.48,chr20,728364,728421,57,GBGC(hc),SLC52A3,31658,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.49,chr22,20131751,20131820,69,positive,ZDHHC8,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.50,chr19,56233732,56233867,135,positive,ZSCAN5A,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.51,chr8,20819319,20819538,219,"GBGC &
positive",LOC102467222,134094,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.52,chr8,56565756,56565839,83,positive,LINC00968,5933,zooHAR_Keough2023,positive,False,False
ZOOHAR.53,chr5,107660077,107660127,50,positive,EFNA5,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.54,chr13,76489391,76489487,96,positive,KCTD12,390687,zooHAR_Keough2023,positive,False,False
ZOOHAR.55,chr17,33539267,33539319,52,positive,ASIC2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.56,chr4,24303371,24303741,370,positive,PPARGC1A,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.57,chr18,64354116,64354212,96,positive,LINC01924,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.58,chr4,181660275,181660712,437,positive,TEMN3-AS1,159292,zooHAR_Keough2023,positive,False,False
ZOOHAR.59,chr1,195935304,195935391,87,positive,LINC01724,109488,zooHAR_Keough2023,positive,False,False
ZOOHAR.60,chrX,136281875,136281967,92,positive,ADGRG4,18995,zooHAR_Keough2023,positive,False,False
ZOOHAR.61,chr18,41886209,41886462,253,"GBGC &
positive",PIK3C3,68771,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.62,chr15,97712735,97712794,59,positive,LINC00923,29821,zooHAR_Keough2023,positive,False,False
ZOOHAR.63,chr9,16946842,16946892,50,positive,BNC2,76172,zooHAR_Keough2023,positive,False,False
ZOOHAR.64,chr17,65538547,65538667,120,positive,AXIN2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.65,chr11,12817772,12817899,127,positive,TEAD1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.66,chr9,110366177,110366233,56,positive,SVEP1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.67,chr17,73382661,73382719,58,GBGC,SDK2,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.68,chr3,174314313,174314382,69,positive,MIR548I1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.69,chr7,107002280,107002411,131,GBGC,PRKAR2B,42293,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.70,chr11,15361772,15362185,413,"GBGC &
positive",INSC,114564,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.71,chr8,38380653,38380744,91,positive,NSD3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.72,chr1,38789476,38789645,169,positive,RNU1-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.73,chr2,22236709,22236773,64,positive,LINC01884,299705,zooHAR_Keough2023,positive,False,False
ZOOHAR.74,chr21,33187693,33187779,86,positive,CBS,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.75,chr10,112586050,112586129,79,positive,VTI1A,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.76,chr17,47119431,47119715,284,positive,CDC27,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.77,chr15,97602874,97602926,52,positive,LOC101927310,42176,zooHAR_Keough2023,positive,False,False
ZOOHAR.78,chr1,80990486,80990543,57,positive,RNU1-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.79,chr9,1201910,1202047,137,GBGC(hc),DMRT2,144356,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.80,chr11,21249987,21250301,314,positive,NELL1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.81,chr10,101966894,101967007,113,positive,ARMH3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.82,chr12,57133425,57133539,114,positive,LRP1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.83,chr1,193861230,193861293,63,positive,LINC01031,495277,zooHAR_Keough2023,positive,False,False
ZOOHAR.84,chr2,79960483,79960543,60,positive,CTNNA2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.85,chr10,189086,189192,106,"GBGC &
positive",ZMYND11,0,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.86,chr15,36099366,36099657,291,GBGC(hc),MIR4510,172443,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.87,chr5,30747845,30748084,239,"GBGC &
positive",GUSBP1,0,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.88,chr11,11352028,11352087,59,positive,CSNK2A3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.89,chr11,35623243,35623306,63,positive,FJX1,2378,zooHAR_Keough2023,positive,False,False
ZOOHAR.90,chr14,21081667,21081744,77,positive,ARHGEF40,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.91,chr1,35747987,35748135,148,positive,CLSPN,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.92,chr10,132786351,132786439,88,positive,NKX6-2,204,zooHAR_Keough2023,positive,False,False
ZOOHAR.93,chr15,57751673,57751815,142,positive,GCOM1,34116,zooHAR_Keough2023,positive,False,False
ZOOHAR.94,chr4,63349324,63349424,100,positive,TECRL,926875,zooHAR_Keough2023,positive,False,False
ZOOHAR.95,chr22,45197070,45197137,67,positive,KIAA0930,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.96,chr4,156770998,156771070,72,positive,PDGFC,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.97,chr2,163310434,163310617,183,positive,FIGN,291998,zooHAR_Keough2023,positive,False,False
ZOOHAR.98,chr3,76365380,76365546,166,positive,ROBO2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.99,chr3,56003086,56003236,150,positive,ERC2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.100,chr9,2050812,2050930,118,positive,SMARCA2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.101,chr15,59945817,59946084,267,positive,FOXB1,58226,zooHAR_Keough2023,positive,False,False
ZOOHAR.102,chr5,3778165,3778229,64,positive,IRX1,176762,zooHAR_Keough2023,positive,False,False
ZOOHAR.103,chr2,79950349,79950473,124,positive,CTNNA2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.104,chr15,36673092,36673507,415,GBGC(hc),CDIN1,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.105,chr6,114450527,114450583,56,positive,HDAC2-AS2,109798,zooHAR_Keough2023,positive,False,False
ZOOHAR.106,chr15,96648925,96649028,103,positive,SPATA8-AS1,122976,zooHAR_Keough2023,positive,False,False
ZOOHAR.107,chr4,148080699,148080783,84,positive,NR3C2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.108,chr18,78375404,78375563,159,positive,LINC01029,381677,zooHAR_Keough2023,positive,False,False
ZOOHAR.109,chr5,113433307,113433395,88,positive,MCC,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.110,chr3,133077538,133077637,99,positive,MIR548I1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.111,chr18,35581701,35581856,155,positive,GALNT1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.112,chr5,56676285,56676433,148,positive,GUSBP1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.113,chr13,100636708,100636759,51,"GBGC &
positive",TMTC4,0,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.114,chr13,88107522,88107588,66,positive,LINC00373,35278,zooHAR_Keough2023,positive,False,False
ZOOHAR.115,chr14,44225856,44225907,51,positive,FSCB,278243,zooHAR_Keough2023,positive,False,False
ZOOHAR.116,chr17,10920926,10920979,53,positive,PIRT,82839,zooHAR_Keough2023,positive,False,False
ZOOHAR.117,chr13,31732767,31732882,115,positive,RXFP2,6643,zooHAR_Keough2023,positive,False,False
ZOOHAR.118,chr14,33661122,33661911,789,"GBGC &
positive",NPAS3,0,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.119,chr15,95550501,95550610,109,positive,LINC00924,42654,zooHAR_Keough2023,positive,False,False
ZOOHAR.120,chr14,32641925,32642197,272,positive,AKAP6,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.121,chr2,206471797,206471872,75,positive,ADAM23,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.122,chr12,16018041,16018163,122,positive,DERA,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.123,chr2,174108989,174109077,88,positive,OLA1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.124,chr17,2983316,2983805,489,"GBGC &
positive",RAP1GAP2,0,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.125,chr11,97339183,97339239,56,positive,LINC02737,824433,zooHAR_Keough2023,positive,False,False
ZOOHAR.126,chr3,109923914,109923970,56,"GBGC &
positive",MIR4445,321017,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.127,chr15,61755053,61755270,217,positive,LINC02349,23664,zooHAR_Keough2023,positive,False,False
ZOOHAR.128,chr15,88989100,88989152,52,positive,MFGE8,75721,zooHAR_Keough2023,positive,False,False
ZOOHAR.129,chr1,38222238,38222549,311,positive,RNU1-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.130,chr19,29812386,29812480,94,positive,CCNE1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.131,chr6,124800528,124800683,155,positive,NKAIN2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.132,chr3,197375100,197375175,75,positive,DLG1-AS1,71350,zooHAR_Keough2023,positive,False,False
ZOOHAR.133,chr5,107116971,107117045,74,positive,MIR4454,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.134,chr11,133663909,133663991,82,GBGC(hc),LINC02743,119679,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.135,chr3,66839522,66839582,60,positive,LOC105377143,101186,zooHAR_Keough2023,positive,False,False
ZOOHAR.136,chr18,41339148,41339294,146,positive,KC6,140976,zooHAR_Keough2023,positive,False,False
ZOOHAR.137,chr8,98852840,98852975,135,positive,STK3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.138,chr2,118309694,118310002,308,"GBGC &
positive",THORLNC,123308,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.139,chr1,44274075,44274540,465,positive,ERI3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.140,chr6,67833703,67833777,74,positive,LOC102723883,221573,zooHAR_Keough2023,positive,False,False
ZOOHAR.141,chr8,115705131,115705318,187,positive,TRPS1,36156,zooHAR_Keough2023,positive,False,False
ZOOHAR.142,chr7,1237452,1237509,57,positive,UNCX,126,zooHAR_Keough2023,positive,False,False
ZOOHAR.143,chrX,24930840,24930978,138,positive,POLA1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.144,chr14,81681484,81681639,155,positive,LINC02311,52973,zooHAR_Keough2023,positive,False,False
ZOOHAR.145,chr4,84001831,84001915,84,positive,LOC101928978,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.146,chr2,158765725,158765789,64,positive,DAPL1,29527,zooHAR_Keough2023,positive,False,False
ZOOHAR.147,chr14,33792601,33792837,236,GBGC(hc),NPAS3,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.148,chr20,53003720,53003856,136,positive,TSHZ2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.149,chr14,33456000,33456218,218,positive,NPAS3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.150,chr6,38391862,38391919,57,GBGC(hc),BTBD9,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.151,chr5,125049964,125050142,178,GBGC,LOC101927421,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.152,chr1,62918642,62919059,417,positive,RNU1-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.153,chr12,53993890,53994067,177,positive,HOXC-AS2,1140,zooHAR_Keough2023,positive,False,False
ZOOHAR.154,chr22,26814683,26814802,119,positive,MIATNB,33790,zooHAR_Keough2023,positive,False,False
ZOOHAR.155,chr4,179749028,179749270,242,positive,LINC00290,1314819,zooHAR_Keough2023,positive,False,False
ZOOHAR.156,chr9,125922788,125923147,359,positive,PBX3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.157,chr2,74529451,74529502,51,positive,AUP1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.158,chr18,25194992,25195066,74,positive,ZNF521,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.159,chr9,106431231,106431380,149,positive,MIR8081,169547,zooHAR_Keough2023,positive,False,False
ZOOHAR.160,chr2,176879727,176879957,230,positive,LINC01117,223769,zooHAR_Keough2023,positive,False,False
ZOOHAR.161,chr2,44717573,44717669,96,positive,CAMKMT,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.162,chr10,1667624,1667705,81,positive,ADARB2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.163,chr10,123514171,123514337,166,positive,GPR26,152017,zooHAR_Keough2023,positive,False,False
ZOOHAR.164,chr5,131954010,131954063,53,positive,ACSL6,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.165,chr7,115729319,115729420,101,GBGC(hc),SNORA25B,147878,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.166,chr20,62929889,62929941,52,positive,DIDO1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.167,chr11,128476960,128477057,97,GBGC(hc),ETS1,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.168,chr20,11877622,11877842,220,positive,LINC00687,6907,zooHAR_Keough2023,positive,False,False
ZOOHAR.169,chr3,50381521,50381623,102,positive,CACNA2D2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.170,chr11,116693780,116693852,72,positive,LINC02702,35528,zooHAR_Keough2023,positive,False,False
ZOOHAR.171,chr3,170953897,170954119,222,,MIR548I1,0,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.172,chr16,66042607,66042674,67,positive,MIR1972-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.173,chr12,113561243,113561437,194,positive,MIR548AQ,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.174,chr12,54017405,54017493,88,positive,HOXC4,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.175,chr6,98826638,98826745,107,positive,PNKY,3395,zooHAR_Keough2023,positive,False,False
ZOOHAR.176,chr1,28063974,28064067,93,positive,EYA3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.177,chr3,158058408,158059059,651,positive,MIR548I1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.178,chr6,149236657,149236759,102,positive,TAB2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.179,chr16,78325328,78325746,418,positive,WWOX,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.180,chr5,165305585,165305771,186,positive,LOC102546299,762602,zooHAR_Keough2023,positive,False,False
ZOOHAR.181,chr2,80640586,80640659,73,positive,CTNNA2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.182,chr1,87356242,87356501,259,positive,LINC01364,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.183,chr11,27729007,27729121,114,positive,BDNF,6977,zooHAR_Keough2023,positive,False,False
ZOOHAR.184,chr4,137864019,137864216,197,positive,LINC00616,163206,zooHAR_Keough2023,positive,False,False
ZOOHAR.185,chr3,29427580,29427653,73,positive,RBMS3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.186,chr12,17786372,17786578,206,positive,MIR3974,112978,zooHAR_Keough2023,positive,False,False
ZOOHAR.187,chr5,121196370,121196905,535,positive,MIR4454,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.188,chr13,59510956,59511042,86,GBGC(hc),DIAPH3,154546,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.189,chr20,31837426,31837494,68,positive,MYLK2,2742,zooHAR_Keough2023,positive,False,False
ZOOHAR.190,chr6,38625252,38625425,173,positive,BTBD9,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.191,chr3,174720695,174720926,231,positive,MIR548I1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.192,chr9,24451487,24451727,240,positive,IZUMO3,91224,zooHAR_Keough2023,positive,False,False
ZOOHAR.193,chr13,111607641,111607717,76,positive,LINC02337,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.194,chr7,132112792,132112884,92,"GBGC &
positive",PLXNA4,10447,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.195,chrX,71811070,71811286,216,positive,LINC00891,26692,zooHAR_Keough2023,positive,False,False
ZOOHAR.196,chr8,42241151,42241213,62,positive,LOC101929897,14107,zooHAR_Keough2023,positive,False,False
ZOOHAR.197,chr1,60175750,60176001,251,positive,RNU1-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.198,chr4,151583497,151583665,168,positive,FAM160A1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.199,chr13,96809218,96809307,89,positive,HS6ST3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.200,chr17,2983230,2983315,85,positive,RAP1GAP2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.201,chr1,3169939,3170064,125,positive,PRDM16,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.202,chr14,104478237,104478340,103,positive,C14orf180,101423,zooHAR_Keough2023,positive,False,False
ZOOHAR.203,chr5,107147678,107147809,131,positive,MIR4454,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.204,chr1,82755214,82755281,67,positive,RNU1-1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.205,chr5,107417703,107417897,194,positive,EFNA5,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.206,chr6,50956439,50956587,148,positive,TFAP2B,108820,zooHAR_Keough2023,positive,False,False
ZOOHAR.207,chr18,56059178,56059445,267,GBGC(hc),LINC01905,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.208,chr20,42896911,42897159,248,positive,PTPRT,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.209,chr7,1230026,1230202,176,positive,UNCX,2669,zooHAR_Keough2023,positive,False,False
ZOOHAR.210,chr13,64769752,64769863,111,positive,LINC00355,693741,zooHAR_Keough2023,positive,False,False
ZOOHAR.211,chr9,16682419,16682610,191,GBGC(hc),BNC2,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.212,chr1,46278109,46278161,52,positive,LRRC41,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.213,chr13,71767518,71767638,120,positive,DACH1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.214,chr2,45532206,45532506,300,positive,SRBD1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.215,chr13,59585372,59585457,85,positive,DIAPH3,80131,zooHAR_Keough2023,positive,False,False
ZOOHAR.216,chr2,163800576,163801324,748,positive,FIGN,64568,zooHAR_Keough2023,positive,False,False
ZOOHAR.217,chr22,46845334,46845468,134,positive,TBC1D22A,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.218,chr9,23140028,23140246,218,positive,LINC01239,315815,zooHAR_Keough2023,positive,False,False
ZOOHAR.219,chr11,128683952,128684040,88,positive,LOC101929538,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.220,chr9,12468729,12468850,121,positive,TYRP1,224534,zooHAR_Keough2023,positive,False,False
ZOOHAR.221,chr19,31889607,31889800,193,GBGC,LINC01533,136061,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.222,chr4,74155684,74156074,390,positive,MTHFD2L,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.223,chr2,147844672,147844749,77,positive,ACVR2A,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.224,chr11,118925621,118925731,110,positive,BCL9L,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.225,chr1,44416189,44416308,119,positive,RNF220,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.226,chr9,24712388,24712658,270,positive,IZUMO3,166491,zooHAR_Keough2023,positive,False,False
ZOOHAR.227,chr18,44290969,44291071,102,positive,LINC01478,32363,zooHAR_Keough2023,positive,False,False
ZOOHAR.228,chr4,86778461,86778532,71,positive,PTPN13,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.229,chr5,106204356,106204470,114,positive,MIR4454,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.230,chr9,80381760,80381840,80,positive,LINC01507,347205,zooHAR_Keough2023,positive,False,False
ZOOHAR.231,chr4,181661752,181661803,51,positive,TEMN3-AS1,158201,zooHAR_Keough2023,positive,False,False
ZOOHAR.232,chr3,193702160,193702247,87,positive,OPA1,4349,zooHAR_Keough2023,positive,False,False
ZOOHAR.233,chr9,2081746,2081802,56,positive,SMARCA2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.234,chr9,3650581,3650778,197,positive,RFX3-AS1,17307,zooHAR_Keough2023,positive,False,False
ZOOHAR.235,chr3,107990203,107990326,123,positive,CD47,52764,zooHAR_Keough2023,positive,False,False
ZOOHAR.236,chr4,23874105,23874208,103,positive,PPARGC1A,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.237,chr9,8863199,8863282,83,,PTPRD,0,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.238,chr20,61191366,61191496,130,,CDH4,60764,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.239,chr12,16084021,16084145,124,positive,DERA,46640,zooHAR_Keough2023,positive,False,False
ZOOHAR.240,chr2,143532102,143532198,96,GBGC(hc),ARHGAP15,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.241,chr3,60940089,60940275,186,positive,FHIT,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.242,chr10,8504900,8505078,178,GBGC(hc),LOC105376398,67668,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.243,chr3,68922634,68922720,86,"GBGC &
positive",TAFA4,0,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.244,chr5,175839988,175840055,67,positive,CPLX2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.245,chr11,76034883,76034984,101,positive,UVRAG,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.246,chr3,184259202,184259323,121,positive,CAMK2N2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.247,chr5,61737786,61738336,550,positive,GUSBP1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.248,chr2,118182693,118183227,534,positive,THORLNC,0,zooHAR_Keough2023,positive,False,False
